year_month_kyiv,level,oblast,records
2026-01,hromada,Dnipropetrovska oblast,247
2026-01,hromada,Donetska oblast,113
2026-01,hromada,Kharkivska oblast,175
2026-01,hromada,Zaporizka oblast,142
2026-01,hromada,Zhytomyrska oblast,28
2026-01,oblast,Kyiv City,58
2026-02,hromada,Dnipropetrovska oblast,201
2026-02,hromada,Donetska oblast,61
2026-02,hromada,Kharkivska oblast,174
2026-02,hromada,Zaporizka oblast,102
2026-02,oblast,Kyiv City,41
2026-03,hromada,Dnipropetrovska oblast,269
2026-03,hromada,Donetska oblast,87
2026-03,hromada,Kharkivska oblast,265
2026-03,hromada,Zaporizka oblast,178
2026-03,oblast,Kyiv City,39
2026-04,hromada,Dnipropetrovska oblast,241
2026-04,hromada,Donetska oblast,69
2026-04,hromada,Kharkivska oblast,226
2026-04,hromada,Zaporizka oblast,153
2026-04,oblast,Kyiv City,35
2026-05,hromada,Dnipropetrovska oblast,154
2026-05,hromada,Donetska oblast,75
2026-05,hromada,Kharkivska oblast,252
2026-05,hromada,Zaporizka oblast,168
2026-05,oblast,Kyiv City,58
2026-06,hromada,Dnipropetrovska oblast,128
2026-06,hromada,Donetska oblast,45
2026-06,hromada,Kharkivska oblast,188
2026-06,hromada,Zaporizka oblast,102
2026-06,oblast,Kyiv City,35
