oblast,raion_records,unique_raions,first_start_kyiv,last_start_kyiv
Donetska oblast,3736,8,2026-01-01 04:43:30+02:00,2026-06-22 18:46:06+03:00
Dnipropetrovska oblast,5399,7,2026-01-01 04:42:51+02:00,2026-06-23 02:46:12+03:00
Kharkivska oblast,7326,7,2026-01-01 00:03:24+02:00,2026-06-23 02:49:37+03:00
Lvivska oblast,452,7,2026-01-04 19:21:55+02:00,2026-06-22 15:36:42+03:00
Odeska oblast,2788,7,2026-01-01 00:44:32+02:00,2026-06-23 01:18:46+03:00
Kyivska oblast,2144,7,2026-01-01 00:46:44+02:00,2026-06-23 01:36:59+03:00
Ivano-Frankivska oblast,395,6,2026-01-04 19:21:59+02:00,2026-06-22 15:36:41+03:00
Zakarpatska oblast,367,6,2026-01-04 19:21:04+02:00,2026-06-22 15:36:53+03:00
Vinnytska oblast,884,6,2026-01-01 11:46:53+02:00,2026-06-22 15:35:00+03:00
Chernihivska oblast,3516,5,2026-01-01 01:20:30+02:00,2026-06-23 01:06:56+03:00
Zaporizka oblast,4265,5,2026-01-01 05:50:57+02:00,2026-06-22 20:21:36+03:00
Sumska oblast,4435,5,2026-01-01 00:03:37+02:00,2026-06-23 00:09:17+03:00
Khersonska oblast,2103,5,2026-01-01 06:59:58+02:00,2026-06-23 01:14:01+03:00
Volynska oblast,309,4,2026-01-01 02:50:55+02:00,2026-06-22 15:37:06+03:00
Cherkaska oblast,1595,4,2026-01-01 11:46:48+02:00,2026-06-22 15:35:11+03:00
Zhytomyrska oblast,774,4,2026-01-01 05:23:58+02:00,2026-06-22 15:35:07+03:00
Poltavska oblast,2508,4,2026-01-01 04:05:44+02:00,2026-06-22 15:35:04+03:00
Kirovohradska oblast,1762,4,2026-01-01 05:38:01+02:00,2026-06-22 15:35:13+03:00
Mykolaivska oblast,1874,4,2026-01-01 00:15:46+02:00,2026-06-23 00:23:57+03:00
Rivnenska oblast,424,4,2026-01-01 00:08:01+02:00,2026-06-22 15:36:42+03:00
Chernivetska oblast,210,3,2026-01-04 19:22:36+02:00,2026-06-22 15:36:37+03:00
Khmelnytska oblast,298,3,2026-01-01 10:02:27+02:00,2026-06-22 15:37:07+03:00
Ternopilska oblast,228,3,2026-01-04 19:20:59+02:00,2026-06-22 15:37:36+03:00
