oblast,raion,records,records_starting_during_previous_interval,overlap_start_rate
Cherkaska oblast,Cherkaskyi raion,438,0,0.0
Cherkaska oblast,Umanskyi raion,347,0,0.0
Cherkaska oblast,Zolotoniskyi raion,438,0,0.0
Cherkaska oblast,Zvenyhorodskyi raion,372,0,0.0
Chernihivska oblast,Chernihivskyi raion,777,0,0.0
Chernihivska oblast,Koriukivskyi raion,770,0,0.0
Chernihivska oblast,Nizhynskyi raion,722,0,0.0
Chernihivska oblast,Novhorod-Siverskyi raion,700,0,0.0
Chernihivska oblast,Prylutskyi raion,547,0,0.0
Chernivetska oblast,Chernivetskyi raion,66,0,0.0
Chernivetska oblast,Dnistrovskyi raion,78,0,0.0
Chernivetska oblast,Vyzhnytskyi raion,66,0,0.0
Dnipropetrovska oblast,Dniprovskyi raion,883,0,0.0
Dnipropetrovska oblast,Kamianskyi raion,674,0,0.0
Dnipropetrovska oblast,Kryvorizkyi raion,862,0,0.0
Dnipropetrovska oblast,Nikopolskyi raion,864,0,0.0
Dnipropetrovska oblast,Pavlohradskyi raion,864,0,0.0
Dnipropetrovska oblast,Samarivskyi raion,638,0,0.0
Dnipropetrovska oblast,Synelnykivskyi raion,614,0,0.0
Donetska oblast,Bakhmutskyi raion,467,0,0.0
Donetska oblast,Donetskyi raion,467,0,0.0
Donetska oblast,Horlivskyi raion,467,0,0.0
Donetska oblast,Kalmiuskyi raion,467,0,0.0
Donetska oblast,Kramatorskyi raion,467,0,0.0
Donetska oblast,Mariupolskyi raion,467,0,0.0
Donetska oblast,Pokrovskyi raion,467,0,0.0
Donetska oblast,Volnovaskyi raion,467,0,0.0
Ivano-Frankivska oblast,Ivano-Frankivskyi raion,66,0,0.0
Ivano-Frankivska oblast,Kaluskyi raion,65,0,0.0
Ivano-Frankivska oblast,Kolomyiskyi raion,66,0,0.0
Ivano-Frankivska oblast,Kosivskyi raion,66,0,0.0
Ivano-Frankivska oblast,Nadvirnianskyi raion,66,0,0.0
Ivano-Frankivska oblast,Verkhovynskyi raion,66,0,0.0
Kharkivska oblast,Bohodukhivskyi raion,1196,0,0.0
Kharkivska oblast,Chuhuivskyi raion,1120,0,0.0
Kharkivska oblast,Iziumskyi raion,1096,0,0.0
Kharkivska oblast,Kharkivskyi raion,1336,0,0.0
Kharkivska oblast,Krasnohradskyi raion,703,0,0.0
Kharkivska oblast,Kupianskyi raion,1018,0,0.0
Kharkivska oblast,Lozivskyi raion,857,0,0.0
Khersonska oblast,Beryslavskyi raion,650,0,0.0
Khersonska oblast,Henicheskyi raion,272,0,0.0
Khersonska oblast,Kakhovskyi raion,272,0,0.0
Khersonska oblast,Khersonskyi raion,637,0,0.0
Khersonska oblast,Skadovskyi raion,272,0,0.0
Khmelnytska oblast,Kamianets-Podilskyi raion,89,0,0.0
Khmelnytska oblast,Khmelnytskyi raion,106,0,0.0
Khmelnytska oblast,Shepetivskyi raion,103,0,0.0
Kirovohradska oblast,Holovanivskyi raion,366,0,0.0
Kirovohradska oblast,Kropyvnytskyi raion,498,0,0.0
Kirovohradska oblast,Novoukrainskyi raion,405,0,0.0
Kirovohradska oblast,Oleksandriiskyi raion,493,0,0.0
Kyivska oblast,Bilotserkivskyi raion,231,0,0.0
Kyivska oblast,Boryspilskyi raion,328,0,0.0
Kyivska oblast,Brovarskyi raion,363,0,0.0
Kyivska oblast,Buchanskyi raion,292,0,0.0
Kyivska oblast,Fastivskyi raion,240,0,0.0
Kyivska oblast,Obukhivskyi raion,273,0,0.0
Kyivska oblast,Vyshhorodskyi raion,417,0,0.0
Lvivska oblast,Chervonohradskyi raion,66,0,0.0
Lvivska oblast,Drohobytskyi raion,61,0,0.0
Lvivska oblast,Lvivskyi raion,68,0,0.0
Lvivska oblast,Sambirskyi raion,61,0,0.0
Lvivska oblast,Stryiskyi raion,66,0,0.0
Lvivska oblast,Yavorivskyi raion,61,0,0.0
Lvivska oblast,Zolochivskyi raion,69,0,0.0
Mykolaivska oblast,Bashtanskyi raion,540,0,0.0
Mykolaivska oblast,Mykolaivskyi raion,773,0,0.0
Mykolaivska oblast,Pervomaiskyi raion,258,0,0.0
Mykolaivska oblast,Voznesenskyi raion,303,0,0.0
Odeska oblast,Berezivskyi raion,265,0,0.0
Odeska oblast,Bilhorod-Dnistrovskyi raion,449,0,0.0
Odeska oblast,Bolhradskyi raion,449,0,0.0
Odeska oblast,Izmailskyi raion,449,0,0.0
Odeska oblast,Odeskyi raion,646,0,0.0
Odeska oblast,Podilskyi raion,265,0,0.0
Odeska oblast,Rozdilnianskyi raion,265,0,0.0
Poltavska oblast,Kremenchutskyi raion,510,0,0.0
Poltavska oblast,Lubenskyi raion,572,0,0.0
Poltavska oblast,Myrhorodskyi raion,661,0,0.0
Poltavska oblast,Poltavskyi raion,765,0,0.0
Rivnenska oblast,Dubenskyi raion,75,0,0.0
Rivnenska oblast,Rivnenskyi raion,111,0,0.0
Rivnenska oblast,Sarnenskyi raion,134,0,0.0
Rivnenska oblast,Varaskyi raion,104,0,0.0
Sumska oblast,Konotopskyi raion,940,0,0.0
Sumska oblast,Okhtyrskyi raion,899,0,0.0
Sumska oblast,Romenskyi raion,655,0,0.0
Sumska oblast,Shostkynskyi raion,927,0,0.0
Sumska oblast,Sumskyi raion,1014,0,0.0
Ternopilska oblast,Chortkivskyi raion,76,0,0.0
Ternopilska oblast,Kremenetskyi raion,76,0,0.0
Ternopilska oblast,Ternopilskyi raion,76,0,0.0
Vinnytska oblast,Haisynskyi raion,151,0,0.0
Vinnytska oblast,Khmilnytskyi raion,149,0,0.0
Vinnytska oblast,Mohyliv-Podilskyi raion,141,0,0.0
Vinnytska oblast,Tulchynskyi raion,146,0,0.0
Vinnytska oblast,Vinnytskyi raion,154,0,0.0
Vinnytska oblast,Zhmerynskyi raion,143,0,0.0
Volynska oblast,Kamin-Kashyrskyi raion,84,0,0.0
Volynska oblast,Kovelskyi raion,77,0,0.0
Volynska oblast,Lutskyi raion,82,0,0.0
Volynska oblast,Volodymyr-Volynskyi raion,66,0,0.0
Zakarpatska oblast,Berehivskyi raion,61,0,0.0
Zakarpatska oblast,Khustskyi raion,61,0,0.0
Zakarpatska oblast,Mukachivskyi raion,61,0,0.0
Zakarpatska oblast,Rakhivskyi raion,62,0,0.0
Zakarpatska oblast,Tiachivskyi raion,61,0,0.0
Zakarpatska oblast,Uzhhorodskyi raion,61,0,0.0
Zaporizka oblast,Berdianskyi raion,853,0,0.0
Zaporizka oblast,Melitopolskyi raion,853,0,0.0
Zaporizka oblast,Polohivskyi raion,853,0,0.0
Zaporizka oblast,Vasylivskyi raion,853,0,0.0
Zaporizka oblast,Zaporizkyi raion,853,0,0.0
Zhytomyrska oblast,Berdychivskyi raion,153,0,0.0
Zhytomyrska oblast,Korostenskyi raion,257,0,0.0
Zhytomyrska oblast,Zhytomyrskyi raion,201,0,0.0
Zhytomyrska oblast,Zviahelskyi raion,163,0,0.0
