date,before_exact_dedup,after_exact_dedup,difference
2022-03-15,92,46,46
2022-03-16,232,116,116
2022-03-17,174,87,87
2022-03-18,226,113,113
2022-03-19,128,64,64
2022-03-20,166,83,83
2022-03-21,230,115,115
2022-03-22,322,161,161
2022-03-23,202,101,101
2022-03-24,158,79,79
2022-03-25,194,97,97
2022-03-26,234,117,117
2022-03-27,134,67,67
2022-03-28,184,92,92
2022-03-29,268,134,134
2022-03-30,162,81,81
2022-03-31,206,103,103
2022-04-01,86,43,43
2022-04-02,174,87,87
2022-04-03,200,100,100
2022-04-04,220,110,110
2022-04-05,180,90,90
2022-04-06,174,87,87
2022-04-07,162,81,81
2022-04-08,166,83,83
2022-04-09,178,89,89
2022-04-10,146,73,73
2022-04-11,152,76,76
2022-04-12,86,43,43
2022-04-13,68,34,34
2022-04-14,228,114,114
2022-04-15,194,97,97
2022-04-16,274,137,137
2022-04-17,134,67,67
2022-04-18,314,157,157
2022-04-19,60,30,30
2022-04-20,134,67,67
2022-04-21,190,95,95
2022-04-22,92,46,46
2022-04-23,208,104,104
2022-04-24,136,68,68
2022-04-25,252,126,126
2022-04-26,154,77,77
2022-04-27,162,81,81
2022-04-28,138,69,69
2022-04-29,124,62,62
2022-04-30,126,63,63
2022-05-01,74,37,37
2022-05-02,102,51,51
2022-05-03,190,95,95
2022-05-04,236,118,118
2022-05-05,176,88,88
2022-05-06,178,89,89
2022-05-07,206,103,103
2022-05-08,250,125,125
2022-05-09,134,67,67
2022-05-10,90,45,45
2022-05-11,82,41,41
2022-05-12,154,77,77
2022-05-13,122,61,61
2022-05-14,96,48,48
2022-05-15,136,68,68
2022-05-16,158,79,79
2022-05-17,102,51,51
2022-05-18,138,69,69
2022-05-19,20,10,10
2022-05-20,180,90,90
2022-05-21,124,62,62
2022-05-22,202,101,101
2022-05-23,196,98,98
2022-05-24,134,67,67
2022-05-25,226,113,113
2022-05-26,140,70,70
2022-05-27,202,101,101
2022-05-28,114,57,57
2022-05-29,104,52,52
2022-05-30,100,50,50
2022-05-31,92,46,46
2022-06-01,144,72,72
2022-06-02,74,37,37
2022-06-03,186,93,93
2022-06-04,140,70,70
2022-06-05,128,64,64
2022-06-06,98,49,49
2022-06-07,106,53,53
2022-06-08,148,74,74
2022-06-09,124,62,62
2022-06-10,54,27,27
2022-06-11,120,60,60
2022-06-12,72,36,36
2022-06-13,94,47,47
2022-06-14,198,99,99
2022-06-15,64,32,32
2022-06-16,156,78,78
2022-06-17,48,24,24
2022-06-18,168,84,84
2022-06-19,94,47,47
2022-06-20,104,52,52
2022-06-21,88,44,44
2022-06-22,104,52,52
2022-06-23,226,113,113
2022-06-24,114,57,57
2022-06-25,230,115,115
2022-06-26,234,117,117
2022-06-27,168,84,84
2022-06-28,160,80,80
2022-06-29,88,44,44
2022-06-30,80,40,40
2022-07-01,60,30,30
2022-07-02,50,25,25
2022-07-03,108,54,54
2022-07-04,88,44,44
2022-07-05,158,79,79
2022-07-06,68,34,34
2022-07-07,112,56,56
2022-07-08,42,21,21
2022-07-09,48,24,24
2022-07-10,46,23,23
2022-07-11,56,28,28
2022-07-12,148,74,74
2022-07-13,120,60,60
2022-07-14,176,88,88
2022-07-15,134,67,67
2022-07-16,168,84,84
2022-07-17,50,25,25
2022-07-18,142,71,71
2022-07-19,84,42,42
2022-07-20,44,22,22
2022-07-21,50,25,25
2022-07-22,50,25,25
2022-07-23,118,59,59
2022-07-24,132,66,66
2022-07-25,150,75,75
2022-07-26,132,66,66
2022-07-27,98,49,49
2022-07-28,194,97,97
2022-07-29,132,66,66
2022-07-30,94,47,47
2022-07-31,136,68,68
2022-08-01,54,27,27
2022-08-02,96,48,48
2022-08-03,82,41,41
2022-08-04,100,50,50
2022-08-05,72,36,36
2022-08-06,56,28,28
2022-08-07,114,57,57
2022-08-08,222,111,111
2022-08-09,84,42,42
2022-08-10,68,34,34
2022-08-11,202,101,101
2022-08-12,98,49,49
2022-08-13,136,68,68
2022-08-14,62,31,31
2022-08-15,134,67,67
2022-08-16,128,64,64
2022-08-17,120,60,60
2022-08-18,134,67,67
2022-08-19,130,65,65
2022-08-20,212,106,106
2022-08-21,82,41,41
2022-08-22,148,74,74
2022-08-23,146,73,73
2022-08-24,408,204,204
2022-08-25,108,54,54
2022-08-26,64,32,32
2022-08-27,64,32,32
2022-08-28,110,55,55
2022-08-29,176,88,88
2022-08-30,106,53,53
