threshold,level,oblast,deduplicated_records
gt_12_hours,hromada,Dnipropetrovska oblast,1323
gt_12_hours,raion,Donetska oblast,888
gt_12_hours,raion,Zaporizka oblast,218
gt_12_hours,raion,Dnipropetrovska oblast,147
gt_12_hours,raion,Chernihivska oblast,136
gt_12_hours,hromada,Donetska oblast,134
gt_12_hours,raion,Sumska oblast,119
gt_12_hours,raion,Kharkivska oblast,105
gt_12_hours,oblast,Sumska oblast,49
gt_12_hours,oblast,Kharkivska oblast,37
gt_12_hours,oblast,Donetska oblast,31
gt_12_hours,oblast,Poltavska oblast,22
gt_12_hours,oblast,Chernihivska oblast,22
gt_12_hours,hromada,Zaporizka oblast,17
gt_12_hours,raion,Kyivska oblast,11
gt_12_hours,hromada,Kharkivska oblast,11
gt_12_hours,oblast,Kyivska oblast,9
gt_12_hours,oblast,Cherkaska oblast,5
gt_12_hours,raion,Khersonska oblast,5
gt_12_hours,oblast,Zaporizka oblast,4
gt_12_hours,raion,Poltavska oblast,4
gt_12_hours,oblast,Dnipropetrovska oblast,3
gt_12_hours,raion,Zakarpatska oblast,2
gt_12_hours,oblast,Kirovohradska oblast,2
gt_12_hours,oblast,Odeska oblast,2
gt_12_hours,oblast,Luhanska oblast,1
gt_12_hours,oblast,Khersonska oblast,1
gt_12_hours,oblast,Zhytomyrska oblast,1
gt_12_hours,raion,Zhytomyrska oblast,1
gt_24_hours,hromada,Dnipropetrovska oblast,346
gt_24_hours,raion,Donetska oblast,240
gt_24_hours,raion,Zaporizka oblast,35
gt_24_hours,hromada,Donetska oblast,21
gt_24_hours,raion,Dnipropetrovska oblast,16
gt_24_hours,raion,Chernihivska oblast,7
gt_24_hours,raion,Kharkivska oblast,7
gt_24_hours,raion,Sumska oblast,6
gt_24_hours,oblast,Kharkivska oblast,5
gt_24_hours,oblast,Donetska oblast,3
gt_24_hours,hromada,Kharkivska oblast,2
gt_24_hours,oblast,Chernihivska oblast,2
gt_24_hours,oblast,Sumska oblast,2
gt_24_hours,raion,Zakarpatska oblast,2
gt_24_hours,oblast,Luhanska oblast,1
gt_24_hours,hromada,Zaporizka oblast,1
gt_7_days,hromada,Dnipropetrovska oblast,10
gt_7_days,hromada,Kharkivska oblast,2
gt_30_days,hromada,Kharkivska oblast,2
gt_90_days,hromada,Kharkivska oblast,2
