year_month,total_records,oblast,raion,hromada,oblast_share,raion_share,hromada_share
2022-03,3312,1992,508,812,0.6014492753623188,0.15338164251207728,0.24516908212560387
2022-04,4912,3502,632,778,0.7129478827361564,0.12866449511400652,0.15838762214983712
2022-05,4458,3424,254,780,0.7680574248541947,0.05697622252131,0.17496635262449528
2022-06,3812,2860,206,746,0.7502623294858342,0.0540398740818468,0.195697796432319
2022-07,3188,2442,80,666,0.7659974905897114,0.025094102885821833,0.20890840652446674
2022-08,3876,3158,26,692,0.8147574819401445,0.006707946336429308,0.1785345717234262
2022-09,3660,2970,52,638,0.8114754098360656,0.014207650273224045,0.17431693989071037
2022-10,3530,3076,4,450,0.8713881019830029,0.0011331444759206798,0.1274787535410765
2022-11,2076,1856,2,218,0.8940269749518305,0.0009633911368015414,0.10500963391136801
2022-12,2162,1986,4,172,0.9185938945420906,0.0018501387604070306,0.07955596669750231
2023-01,2018,1860,6,152,0.9217046580773043,0.002973240832507433,0.0753221010901883
2023-02,2354,2196,0,158,0.9328802039082413,0.0,0.06711979609175871
2023-03,2934,2786,0,148,0.9495569188820723,0.0,0.050443081117927745
2023-04,1718,1578,2,138,0.9185098952270081,0.0011641443538998836,0.08032596041909197
2023-05,2850,2674,2,174,0.9382456140350878,0.0007017543859649122,0.061052631578947365
2023-06,2862,2738,4,120,0.9566736547868623,0.001397624039133473,0.041928721174004195
2023-07,3000,2890,0,110,0.9633333333333334,0.0,0.03666666666666667
2023-08,4016,3832,8,176,0.954183266932271,0.00199203187250996,0.043824701195219126
2023-09,3076,2908,2,166,0.9453836150845254,0.0006501950585175553,0.053966189856957086
2023-10,3282,3024,0,258,0.9213893967093236,0.0,0.07861060329067641
2023-11,3036,2734,0,302,0.9005270092226614,0.0,0.09947299077733861
2023-12,3578,3266,0,312,0.912800447177194,0.0,0.08719955282280603
2024-01,3878,3484,2,392,0.8984012377514182,0.0005157297576070139,0.10108303249097472
2024-02,3676,2860,0,816,0.7780195865070729,0.0,0.2219804134929271
2024-03,5558,4430,0,1128,0.7970492983087442,0.0,0.20295070169125584
2024-04,4424,3506,0,918,0.7924954792043399,0.0,0.20750452079566004
2024-05,5518,4420,0,1098,0.8010148604566872,0.0,0.1989851395433128
2024-06,5000,4060,0,940,0.812,0.0,0.188
2024-07,4582,3836,0,746,0.8371890004364906,0.0,0.1628109995635094
2024-08,4402,3790,0,612,0.8609722853248524,0.0,0.13902771467514766
2024-09,4218,3586,0,632,0.8501659554291133,0.0,0.14983404457088667
2024-10,3992,3386,2,604,0.8481963927855711,0.000501002004008016,0.15130260521042085
2024-11,3614,3070,2,542,0.8494742667404538,0.0005534034311012728,0.14997232982844494
2024-12,3408,2842,2,564,0.8339201877934272,0.0005868544600938967,0.16549295774647887
2025-01,4058,3284,306,468,0.8092656481025136,0.07540660423854115,0.1153277476589453
2025-02,3920,3010,248,662,0.7678571428571429,0.06326530612244897,0.16887755102040816
2025-03,4008,2804,260,944,0.6996007984031936,0.06487025948103792,0.23552894211576847
2025-04,4470,3000,186,1284,0.6711409395973155,0.04161073825503356,0.287248322147651
2025-05,4530,2704,634,1192,0.5969094922737307,0.13995584988962473,0.2631346578366446
2025-06,4874,2926,680,1268,0.600328272466147,0.1395157981124333,0.2601559294214198
2025-07,6110,3532,1192,1386,0.5780687397708675,0.1950900163666121,0.22684124386252047
2025-08,8370,2234,4874,1262,0.26690561529271206,0.5823178016726404,0.15077658303464755
2025-09,9490,1410,6936,1144,0.14857744994731295,0.7308746048472076,0.12054794520547946
2025-10,9804,1430,6992,1382,0.14585883312933495,0.7131782945736435,0.14096287229702162
2025-11,16240,328,14514,1398,0.02019704433497537,0.8937192118226601,0.08608374384236453
2025-12,16004,48,14584,1372,0.0029992501874531365,0.9112721819545113,0.0857285678580355
2026-01,15381,113,14028,1240,0.00734672648072297,0.9120343280670957,0.08061894545218126
2026-02,7922,41,7341,540,0.005175460742236809,0.9266599343600102,0.0681646048977531
2026-03,9788,39,8949,800,0.0039844707805476096,0.9142827952595014,0.08173273395995095
2026-04,8609,35,7883,691,0.004065512835404809,0.915669648042746,0.08026483912184923
2026-05,10065,58,9362,645,0.0057625434674615,0.930153999006458,0.06408345752608048
2026-06,7076,35,6579,462,0.004946297343131713,0.9297625777275297,0.06529112492933861
