oblast,raion,hromada,level,started_at,finished_at,source,multiplicity
Cherkaska oblast,Cherkaskyi raion,Smilianska terytorialna hromada,hromada,2022-03-16 10:11:49+00:00,2022-03-16 10:45:26+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,Smilianska terytorialna hromada,hromada,2022-03-18 15:50:45+00:00,2022-03-18 16:28:18+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-16 11:35:15+00:00,2022-03-16 13:12:46+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-18 03:33:50+00:00,2022-03-18 04:39:05+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-18 08:48:40+00:00,2022-03-18 09:30:18+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-18 15:50:39+00:00,2022-03-18 16:28:21+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-20 03:24:10+00:00,2022-03-20 04:31:29+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-21 04:53:01+00:00,2022-03-21 05:47:04+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-23 22:30:41+00:00,2022-03-23 22:52:56+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-25 04:42:02+00:00,2022-03-25 05:48:17+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-28 20:56:59+00:00,2022-03-28 21:01:12+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,m. Cherkasy ta Cherkaska terytorialna hromada,hromada,2022-03-31 21:38:00+00:00,2022-03-31 22:16:32+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,,raion,2022-03-18 06:11:24+00:00,2022-03-18 06:57:06+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,,raion,2025-01-10 00:36:07+00:00,2025-01-10 04:05:52+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,,raion,2025-01-10 04:46:07+00:00,2025-01-10 06:32:34+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,,raion,2025-01-11 18:19:37+00:00,2025-01-12 00:05:20+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,,raion,2025-01-12 00:14:07+00:00,2025-01-12 01:58:18+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,,raion,2025-01-12 12:57:11+00:00,2025-01-13 00:11:34+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,,raion,2025-01-13 09:17:12+00:00,2025-01-13 10:42:11+00:00,official,2
Cherkaska oblast,Cherkaskyi raion,,raion,2025-01-13 11:34:28+00:00,2025-01-13 12:46:46+00:00,official,2
