oblast,raion,hromada,level,started_at,finished_at,duration_hours,duration_days,multiplicity
Kharkivska oblast,Kharkivskyi raion,Lypetska terytorialna hromada,hromada,2024-05-12 08:37:29+00:00,2026-01-06 09:53:57+00:00,14497.274444444445,604.0531018518519,2
Kharkivska oblast,Kharkivskyi raion,Lypetska terytorialna hromada,hromada,2024-05-12 08:37:29+00:00,2026-01-06 09:53:57+00:00,14497.274444444445,604.0531018518519,2
Kharkivska oblast,Chuhuivskyi raion,Vovchanska terytorialna hromada,hromada,2024-05-20 09:31:41+00:00,2025-08-01 22:52:43+00:00,10525.350555555555,438.55627314814814,2
Kharkivska oblast,Chuhuivskyi raion,Vovchanska terytorialna hromada,hromada,2024-05-20 09:31:41+00:00,2025-08-01 22:52:43+00:00,10525.350555555555,438.55627314814814,2
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-03-23 21:53:07+00:00,2026-04-19 05:12:29+00:00,631.3227777777778,26.305115740740742,1
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2025-02-24 14:01:55+00:00,2025-03-17 03:07:56+00:00,493.10027777777776,20.545844907407407,2
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2025-02-24 14:01:55+00:00,2025-03-17 03:07:56+00:00,493.10027777777776,20.545844907407407,2
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-03-03 20:50:20+00:00,2026-03-23 17:54:21+00:00,477.06694444444446,19.877789351851852,1
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2025-01-12 07:37:02+00:00,2025-01-25 06:46:14+00:00,311.1533333333333,12.964722222222221,2
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2025-01-12 07:37:02+00:00,2025-01-25 06:46:14+00:00,311.1533333333333,12.964722222222221,2
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2025-04-07 10:50:26+00:00,2025-04-20 05:27:01+00:00,306.6097222222222,12.775405092592592,2
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2025-04-07 10:50:26+00:00,2025-04-20 05:27:01+00:00,306.6097222222222,12.775405092592592,2
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-02-21 09:46:42+00:00,2026-03-02 17:20:09+00:00,223.5575,9.314895833333333,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-02-05 20:08:27+00:00,2026-02-14 07:37:42+00:00,203.4875,8.478645833333333,1
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2024-12-15 11:52:36+00:00,2024-12-23 09:49:58+00:00,189.9561111111111,7.914837962962963,2
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2024-12-15 11:52:36+00:00,2024-12-23 09:49:58+00:00,189.9561111111111,7.914837962962963,2
Dnipropetrovska oblast,Nikopolskyi raion,m. Marhanets ta Marhanetska terytorialna hromada,hromada,2026-05-12 08:48:04+00:00,2026-05-20 05:28:02+00:00,188.66611111111112,7.861087962962963,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-08-06 08:51:10+00:00,2025-08-13 14:19:27+00:00,173.4713888888889,7.227974537037038,2
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-08-06 08:51:10+00:00,2025-08-13 14:19:27+00:00,173.4713888888889,7.227974537037038,2
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-02-14 12:15:08+00:00,2026-02-21 09:39:05+00:00,165.39916666666667,6.891631944444445,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-12-08 14:37:22+00:00,2025-12-15 11:32:56+00:00,164.9261111111111,6.871921296296296,2
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-12-08 14:37:22+00:00,2025-12-15 11:32:56+00:00,164.9261111111111,6.871921296296296,2
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-01-30 12:48:19+00:00,2026-02-05 16:04:11+00:00,147.26444444444445,6.136018518518519,1
