oblast,represented_raions,first_date,last_date,records
Cherkaska oblast,4,2026-01-01,2026-06-23,1615
Chernihivska oblast,5,2026-01-01,2026-06-23,3543
Chernivetska oblast,3,2026-01-04,2026-06-23,216
Dnipropetrovska oblast,7,2026-01-01,2026-06-23,5458
Donetska oblast,8,2026-01-01,2026-06-23,3760
Ivano-Frankivska oblast,6,2026-01-04,2026-06-23,407
Kharkivska oblast,7,2026-01-01,2026-06-23,7386
Khersonska oblast,5,2026-01-01,2026-06-23,2130
Khmelnytska oblast,3,2026-01-01,2026-06-23,304
Kirovohradska oblast,4,2026-01-01,2026-06-23,1786
Kyivska oblast,7,2026-01-01,2026-06-23,2158
Lvivska oblast,7,2026-01-04,2026-06-23,466
Mykolaivska oblast,4,2026-01-01,2026-06-23,1896
Odeska oblast,7,2026-01-01,2026-06-23,2818
Poltavska oblast,4,2026-01-01,2026-06-23,2536
Rivnenska oblast,4,2026-01-01,2026-06-23,432
Sumska oblast,5,2026-01-01,2026-06-23,4466
Ternopilska oblast,3,2026-01-04,2026-06-23,234
Vinnytska oblast,6,2026-01-01,2026-06-23,902
Volynska oblast,4,2026-01-01,2026-06-23,317
Zakarpatska oblast,6,2026-01-04,2026-06-23,379
Zaporizka oblast,5,2026-01-01,2026-06-23,4295
Zhytomyrska oblast,4,2026-01-01,2026-06-23,782
