index,active_raions,records_started_on_date,interval_segments,total_raion_time_under_alert_minutes
count,174.0,174.0,174.0,174.0
mean,81.49425287356321,277.5057471264368,305.0287356321839,37039.29885057471
std,23.432043453809882,96.71110349403502,99.33282805892541,10748.430931726261
min,21.0,91.0,106.0,7736.650000000001
25%,67.0,223.0,245.5,31062.95
50%,77.5,268.5,292.5,35386.70833333333
75%,95.5,318.25,353.5,40433.425
90%,118.0,376.5000000000001,403.0,51960.58166666668
95%,118.0,433.75,464.64999999999986,60335.23083333333
max,118.0,751.0,782.0,73746.35
