month,records
2022-03,985
2022-04,1761
2022-05,1704
2022-06,1431
2022-07,1216
2022-08,1580
2022-09,1496
2022-10,1525
2022-11,942
2022-12,975
2023-01,945
2023-02,1100
2023-03,1386
2023-04,796
2023-05,1331
2023-06,1375
2023-07,1440
2023-08,1920
2023-09,1439
2023-10,1527
2023-11,1367
2023-12,1632
2024-01,1740
2024-02,1430
2024-03,2209
2024-04,1764
2024-05,2187
2024-06,2047
2024-07,1911
2024-08,1901
2024-09,1799
2024-10,1694
2024-11,1531
2024-12,1421
2025-01,1640
2025-02,1509
2025-03,1402
2025-04,1496
2025-05,1354
2025-06,1455
2025-07,1776
