local_date,active_raions,records_started_on_date,interval_segments,total_raion_time_under_alert_minutes,rolling_7d_total_minutes,rolling_14d_total_minutes,unusually_high_activity
2026-01-01,90,243,243,30022.83333333333,30022.83333333333,30022.83333333333,False
2026-01-02,51,147,159,23338.916666666664,26680.874999999996,26680.874999999996,False
2026-01-03,68,269,286,23013.416666666664,25458.388888888887,25458.388888888887,False
2026-01-04,118,266,279,27122.43333333333,25874.399999999998,25874.399999999998,False
2026-01-05,118,276,316,42861.55,29271.829999999998,29271.829999999998,False
2026-01-06,72,245,267,24332.05,28448.53333333333,28448.53333333333,False
2026-01-07,63,189,214,25936.58333333333,28089.68333333333,28089.68333333333,False
2026-01-08,118,286,319,24293.35,27271.185714285715,27615.141666666666,False
2026-01-09,118,236,354,36828.78333333333,29198.309523809523,28638.879629629628,False
2026-01-10,77,218,249,29323.43333333333,30099.740476190473,28707.335,False
2026-01-11,66,157,194,29282.483333333334,30408.319047619047,28759.621212121212,False
2026-01-12,77,251,277,38673.86666666667,29810.07857142857,29585.808333333334,False
2026-01-13,87,373,403,52188.11666666667,33789.51666666667,31324.447435897433,False
2026-01-14,73,309,329,27090.36666666667,33954.34285714286,31022.013095238097,False
2026-01-15,89,341,373,33342.583333333336,35247.090476190475,31259.138095238097,False
2026-01-16,118,421,481,35341.25,35034.58571428571,32116.44761904762,False
2026-01-17,68,223,244,38808.066666666666,36389.53333333333,33244.6369047619,False
2026-01-18,80,187,224,40392.45,37976.67142857143,34192.49523809524,False
2026-01-19,74,206,235,40447.083333333336,38229.9880952381,34020.03333333333,False
2026-01-20,92,415,452,61132.816666666666,39507.80238095239,36648.659523809525,True
2026-01-21,67,250,270,32381.766666666663,40263.71666666667,37109.02976190476,False
2026-01-22,72,236,237,31535.533333333333,40005.566666666666,37626.32857142857,False
2026-01-23,118,241,279,39748.4,40635.15952380952,37834.87261904762,False
2026-01-24,118,305,344,52621.066666666666,42608.44523809524,39498.989285714284,False
2026-01-25,81,245,273,31095.95,41280.37380952381,39628.52261904762,False
2026-01-26,69,241,264,43687.816666666666,41743.33571428571,39986.6619047619,False
2026-01-27,80,217,249,32161.783333333333,37604.61666666666,38556.20952380953,False
2026-01-28,72,225,255,37361.91666666666,38316.066666666666,39289.89166666666,False
2026-01-29,73,134,159,31380.416666666668,38293.90714285715,39149.73690476191,False
2026-01-30,58,173,197,28959.83333333333,36752.683333333334,38693.92142857143,False
2026-01-31,35,138,139,20339.55,32141.038095238095,37374.74166666666,False
2026-02-01,72,289,298,38361.96666666667,33179.04047619047,37229.70714285714,False
2026-02-02,62,217,249,37440.333333333336,32286.542857142857,37014.93928571429,False
2026-02-03,118,340,382,67486.81666666667,37332.97619047619,37468.79642857142,True
2026-02-04,67,277,307,40189.083333333336,37736.857142857145,38026.461904761905,False
2026-02-05,77,213,252,45805.583333333336,39797.595238095244,39045.751190476185,False
2026-02-06,118,298,328,53143.5,43252.404761904756,40002.54404761905,False
2026-02-07,118,319,354,73746.35,50881.94761904762,41511.49285714286,True
2026-02-08,92,288,317,31033.95,49835.0880952381,41507.06428571429,False
2026-02-09,96,229,255,44005.45,50772.961904761905,41529.75238095238,False
2026-02-10,72,268,291,37134.16666666666,46436.869047619046,41884.922619047626,False
2026-02-11,118,254,281,43289.066666666666,46879.723809523806,42308.29047619047,False
2026-02-12,118,349,383,45638.816666666666,46855.9,43326.74761904762,False
2026-02-13,86,272,299,34263.066666666666,44158.69523809524,43705.549999999996,False
2026-02-14,58,140,163,22875.43333333333,36891.42142857142,43886.68452380953,False
2026-02-15,82,291,291,31295.316666666666,36928.759523809524,43381.92380952381,False
2026-02-16,82,295,309,25000.716666666667,34213.79761904762,42493.37976190476,False
2026-02-17,118,390,428,63476.9,37977.045238095234,42206.95714285714,True
2026-02-18,59,215,228,26129.58333333333,35525.69047619047,41202.707142857136,False
2026-02-19,92,322,326,26069.93333333333,32730.135714285716,39793.017857142855,False
2026-02-20,55,156,176,32197.8,32435.097619047618,38296.896428571425,False
2026-02-21,72,169,198,38490.5,34665.82142857143,35778.62142857143,False
2026-02-22,118,231,258,53929.68333333333,37899.30238095238,37414.03095238095,False
2026-02-23,79,197,226,35217.28333333333,39358.8119047619,36786.30476190476,False
2026-02-24,67,174,197,29434.45,34495.60476190476,36236.325,False
2026-02-25,68,246,273,27959.25,34756.98571428571,35141.33809523809,False
2026-02-26,118,354,396,50986.5,38316.49523809524,35523.31547619047,False
2026-02-27,118,302,312,35868.03333333333,38840.81428571429,35637.95595238095,False
2026-02-28,72,256,291,35893.35,38469.79285714286,36567.80714285714,False
2026-03-01,82,208,230,34299.65,35665.50238095238,36782.40238095238,False
2026-03-02,67,205,222,29009.333333333336,34778.65238095238,37068.732142857145,False
2026-03-03,63,267,277,31192.75,35029.8380952381,34762.72142857143,False
2026-03-04,71,243,266,35022.416666666664,36038.86190476191,35397.9238095238,False
2026-03-05,67,207,245,33897.9,33597.63333333333,35957.06428571429,False
2026-03-06,72,253,270,35062.23333333333,33482.51904761905,36161.666666666664,False
2026-03-07,118,281,347,54591.2,36153.64047619047,37311.71666666667,True
2026-03-08,86,281,330,31455.566666666666,35747.34285714286,35706.42261904762,False
2026-03-09,82,300,329,35758.833333333336,36711.557142857135,35745.10476190476,False
2026-03-10,54,228,244,31051.95,36691.44285714285,35860.64047619048,False
2026-03-11,64,276,282,28520.816666666666,35762.642857142855,35900.75238095238,False
2026-03-12,86,350,369,36969.5,36201.44285714285,34899.538095238095,False
2026-03-13,64,243,276,31835.4,35740.46666666667,34611.49285714286,False
2026-03-14,118,323,367,50635.25,35175.33095238095,35664.485714285714,False
2026-03-15,56,272,299,31994.05,35252.25714285714,35499.8,False
2026-03-16,82,356,382,37341.1,35478.29523809524,36094.92619047619,False
2026-03-17,66,296,326,29249.9,35220.85952380952,35956.15119047619,False
2026-03-18,102,437,477,35432.166666666664,36208.195238095235,35985.41904761905,False
2026-03-19,63,279,322,33553.3,35720.166666666664,35960.804761904765,False
2026-03-20,58,199,232,29905.33333333333,35444.44285714285,35592.45476190476,False
2026-03-21,57,212,240,31178.166666666664,32664.859523809522,33920.09523809524,False
2026-03-22,70,249,277,39437.66666666666,33728.23333333333,34490.24523809524,False
