oblast,raion,geo_id,total_alert_records,active_days,total_allocated_alert_minutes,average_duration_per_valid_alert,median_duration,longest_valid_alert
Cherkaska oblast,Cherkaskyi raion,Cherkaska oblast | Cherkaskyi raion,443,154,27277.399999999998,61.57426636568848,29.466666666666665,550.8
Cherkaska oblast,Umanskyi raion,Cherkaska oblast | Umanskyi raion,352,141,17499.0,49.71306818181818,25.241666666666664,524.2666666666667
Cherkaska oblast,Zolotoniskyi raion,Cherkaska oblast | Zolotoniskyi raion,443,155,27438.266666666666,61.93739653875094,29.23333333333333,550.9666666666667
Cherkaska oblast,Zvenyhorodskyi raion,Cherkaska oblast | Zvenyhorodskyi raion,377,147,20526.683333333334,54.4474358974359,27.266666666666666,447.01666666666665
Chernihivska oblast,Chernihivskyi raion,Chernihivska oblast | Chernihivskyi raion,782,166,93240.75,119.2336956521739,74.84166666666667,1274.6166666666666
Chernihivska oblast,Koriukivskyi raion,Chernihivska oblast | Koriukivskyi raion,777,171,129519.56666666667,166.69184899184899,97.05,1500.35
Chernihivska oblast,Nizhynskyi raion,Chernihivska oblast | Nizhynskyi raion,728,165,74849.83333333333,102.81570512820512,64.60833333333333,797.4666666666667
Chernihivska oblast,Novhorod-Siverskyi raion,Chernihivska oblast | Novhorod-Siverskyi raion,703,170,142533.16666666666,202.74988146040775,113.58333333333331,1655.2833333333333
Chernihivska oblast,Prylutskyi raion,Chernihivska oblast | Prylutskyi raion,553,155,47794.71666666667,86.42805907172996,44.35,683.8666666666667
Chernivetska oblast,Chernivetskyi raion,Chernivetska oblast | Chernivetskyi raion,68,45,4083.0,60.044117647058826,29.108333333333334,365.3666666666667
Chernivetska oblast,Dnistrovskyi raion,Chernivetska oblast | Dnistrovskyi raion,80,51,5350.883333333333,66.88604166666667,36.95833333333333,410.75
Chernivetska oblast,Vyzhnytskyi raion,Chernivetska oblast | Vyzhnytskyi raion,68,45,4011.4166666666665,58.99142156862746,29.108333333333334,365.25
Dnipropetrovska oblast,Dniprovskyi raion,Dnipropetrovska oblast | Dniprovskyi raion,893,169,61318.333333333336,68.66554684583801,41.583333333333336,824.8166666666667
Dnipropetrovska oblast,Kamianskyi raion,Dnipropetrovska oblast | Kamianskyi raion,683,165,44261.6,64.80468521229868,39.516666666666666,618.5666666666667
Dnipropetrovska oblast,Kryvorizkyi raion,Dnipropetrovska oblast | Kryvorizkyi raion,870,169,63591.96666666667,73.09421455938697,44.53333333333333,681.6833333333333
