local_date,active_raions,records_started_on_date,interval_segments,total_raion_time_under_alert_minutes,rolling_7d_total_minutes,rolling_14d_total_minutes,unusually_high_activity
2026-01-20,92,415,452,61132.816666666666,39507.80238095239,36648.659523809525,True
2026-02-03,118,340,382,67486.81666666667,37332.97619047619,37468.79642857142,True
2026-02-07,118,319,354,73746.35,50881.94761904762,41511.49285714286,True
2026-02-17,118,390,428,63476.9,37977.045238095234,42206.95714285714,True
2026-03-07,118,281,347,54591.2,36153.64047619047,37311.71666666667,True
2026-03-24,118,315,366,69080.88333333333,39374.42142857142,37297.64047619048,True
2026-03-29,101,350,387,62694.35,44150.31666666666,38939.275,True
2026-03-30,118,751,782,57854.48333333333,47124.75238095238,40404.51666666666,True
2026-04-01,113,281,320,60055.4,46277.64047619047,42916.44285714285,True
2026-04-03,118,378,412,61454.86666666667,51686.938095238096,45731.56785714285,True
2026-05-13,118,665,680,68716.58333333333,29758.166666666664,33654.81071428571,True
2026-05-24,118,269,322,60854.91666666666,41866.72142857143,42710.57619047619,True
2026-06-02,97,296,355,55244.26666666666,40483.119047619046,40287.84166666667,True
